timestamp,hmd_pos_x,hmd_pos_y,hmd_pos_z,hmd_rot_w,hmd_rot_x,hmd_rot_y,hmd_rot_z,left_controller_pos_x,left_controller_pos_y,left_controller_pos_z,left_controller_rot_w,left_controller_rot_x,left_controller_rot_y,left_controller_rot_z,right_controller_pos_x,right_controller_pos_y,right_controller_pos_z,right_controller_rot_w,right_controller_rot_x,right_controller_rot_y,right_controller_rot_z
258,2.6,162.19,-17.82,0.66,-0.22,0.69,0.19,-17.32,137.85,-11.76,0.69,0.14,0.37,-0.61,-30.98,138.15,-13.03,0.42,0.29,0.81,-0.29
274,2.55,162.21,-17.86,0.66,-0.22,0.69,0.19,-17.34,136.98,-11.53,0.69,0.13,0.38,-0.6,-30.98,138.32,-13.24,0.42,0.29,0.81,-0.29
289,2.5,162.23,-17.91,0.66,-0.22,0.69,0.19,-17.36,135.92,-11.34,0.7,0.13,0.39,-0.59,-30.97,138.51,-13.46,0.42,0.29,0.81,-0.3
303,2.44,162.25,-17.96,0.66,-0.22,0.69,0.19,-17.12,135.19,-11.13,0.7,0.14,0.39,-0.58,-31.02,138.6,-13.64,0.43,0.3,0.8,-0.3
317,2.38,162.28,-18.0,0.66,-0.22,0.69,0.19,-16.99,134.21,-11.0,0.71,0.13,0.4,-0.57,-30.97,138.76,-13.84,0.43,0.29,0.8,-0.3
335,2.31,162.3,-18.05,0.66,-0.22,0.69,0.19,-16.98,133.03,-10.85,0.72,0.13,0.42,-0.54,-30.99,138.93,-14.15,0.43,0.28,0.8,-0.31
348,2.25,162.34,-18.1,0.66,-0.22,0.69,0.19,-16.95,131.95,-10.83,0.73,0.12,0.42,-0.52,-31.02,139.15,-14.44,0.44,0.27,0.8,-0.33
363,2.18,162.36,-18.14,0.66,-0.22,0.69,0.18,-16.82,130.72,-10.83,0.74,0.11,0.43,-0.5,-31.05,139.44,-14.86,0.44,0.25,0.79,-0.34
377,2.11,162.4,-18.18,0.67,-0.22,0.69,0.18,-16.74,129.58,-10.81,0.75,0.1,0.43,-0.49,-31.11,139.66,-15.23,0.44,0.24,0.79,-0.36
393,2.04,162.44,-18.23,0.67,-0.22,0.69,0.18,-16.48,128.53,-10.88,0.76,0.09,0.44,-0.47,-31.24,139.83,-15.59,0.45,0.23,0.79,-0.36
408,1.97,162.48,-18.27,0.67,-0.22,0.68,0.18,-16.1,127.75,-10.98,0.77,0.1,0.44,-0.46,-31.37,139.96,-15.89,0.45,0.23,0.78,-0.36
421,1.9,162.52,-18.29,0.67,-0.22,0.68,0.18,-15.66,127.25,-11.02,0.77,0.1,0.45,-0.45,-31.45,140.09,-16.15,0.46,0.23,0.78,-0.37
435,1.82,162.57,-18.32,0.67,-0.22,0.68,0.18,-15.19,126.86,-11.11,0.77,0.11,0.45,-0.44,-31.52,140.24,-16.43,0.46,0.23,0.77,-0.37
449,1.73,162.62,-18.35,0.67,-0.22,0.68,0.18,-14.69,126.65,-11.21,0.77,0.12,0.45,-0.43,-31.65,140.42,-16.8,0.46,0.21,0.77,-0.38
464,1.64,162.67,-18.38,0.68,-0.22,0.68,0.18,-14.23,126.53,-11.28,0.77,0.12,0.46,-0.43,-31.8,140.56,-17.17,0.47,0.19,0.77,-0.4
479,1.54,162.73,-18.42,0.68,-0.22,0.68,0.18,-13.65,126.35,-11.38,0.77,0.13,0.46,-0.43,-32.0,140.71,-17.62,0.47,0.18,0.76,-0.41
496,1.45,162.78,-18.45,0.68,-0.22,0.68,0.17,-13.15,126.29,-11.49,0.77,0.14,0.46,-0.42,-32.2,140.84,-18.08,0.47,0.16,0.76,-0.42
511,1.37,162.83,-18.47,0.68,-0.22,0.67,0.17,-12.75,126.29,-11.57,0.77,0.14,0.47,-0.42,-32.39,140.98,-18.54,0.47,0.14,0.75,-0.44
528,1.28,162.88,-18.49,0.69,-0.21,0.67,0.17,-12.34,126.3,-11.63,0.76,0.15,0.47,-0.41,-32.66,141.15,-19.23,0.47,0.1,0.74,-0.46
544,1.22,162.93,-18.51,0.69,-0.21,0.67,0.17,-12.04,126.34,-11.66,0.76,0.16,0.47,-0.41,-33.0,141.25,-19.98,0.47,0.05,0.73,-0.49
559,1.16,162.97,-18.53,0.69,-0.21,0.67,0.17,-11.8,126.36,-11.69,0.76,0.16,0.48,-0.41,-33.33,141.31,-20.69,0.47,0.01,0.72,-0.52
574,1.13,162.99,-18.55,0.69,-0.21,0.67,0.17,-11.63,126.37,-11.69,0.76,0.16,0.48,-0.41,-33.61,141.36,-21.32,0.47,-0.01,0.7,-0.53
587,1.1,163.01,-18.57,0.69,-0.21,0.67,0.17,-11.5,126.34,-11.67,0.76,0.16,0.48,-0.41,-33.83,141.41,-21.84,0.47,-0.03,0.69,-0.55
600,1.09,163.02,-18.59,0.69,-0.21,0.67,0.17,-11.43,126.29,-11.67,0.76,0.16,0.48,-0.41,-33.98,141.48,-22.22,0.47,-0.04,0.68,-0.56
615,1.07,163.04,-18.6,0.69,-0.21,0.67,0.17,-11.38,126.2,-11.66,0.76,0.16,0.49,-0.4,-34.19,141.54,-22.76,0.46,-0.06,0.67,-0.57
629,1.06,163.05,-18.62,0.7,-0.21,0.67,0.17,-11.35,126.1,-11.64,0.76,0.16,0.49,-0.4,-34.35,141.61,-23.13,0.46,-0.08,0.66,-0.58
642,1.05,163.07,-18.65,0.7,-0.21,0.67,0.17,-11.38,125.98,-11.61,0.76,0.16,0.49,-0.4,-34.46,141.69,-23.46,0.46,-0.08,0.66,-0.59
658,1.04,163.08,-18.67,0.7,-0.21,0.66,0.17,-11.44,125.83,-11.57,0.76,0.15,0.49,-0.4,-34.56,141.8,-23.73,0.46,-0.09,0.65,-0.6
671,1.04,163.08,-18.69,0.7,-0.2,0.66,0.17,-11.52,125.68,-11.53,0.76,0.15,0.49,-0.4,-34.65,141.9,-23.97,0.45,-0.1,0.65,-0.61
688,1.04,163.08,-18.72,0.7,-0.2,0.66,0.17,-11.63,125.52,-11.46,0.76,0.15,0.49,-0.4,-34.74,142.01,-24.17,0.45,-0.1,0.64,-0.61
702,1.04,163.07,-18.74,0.7,-0.2,0.66,0.17,-11.74,125.4,-11.38,0.76,0.15,0.49,-0.39,-34.79,142.1,-24.34,0.45,-0.1,0.64,-0.61
714,1.04,163.07,-18.76,0.7,-0.2,0.66,0.17,-11.84,125.31,-11.31,0.76,0.14,0.49,-0.39,-34.83,142.18,-24.45,0.45,-0.1,0.64,-0.62
728,1.03,163.07,-18.78,0.7,-0.2,0.66,0.17,-11.96,125.22,-11.23,0.76,0.14,0.5,-0.39,-34.89,142.26,-24.58,0.45,-0.1,0.63,-0.62
742,1.03,163.07,-18.79,0.7,-0.2,0.66,0.17,-12.06,125.16,-11.17,0.76,0.14,0.5,-0.39,-34.91,142.36,-24.66,0.45,-0.1,0.63,-0.62
757,1.02,163.08,-18.81,0.7,-0.2,0.66,0.17,-12.15,125.13,-11.11,0.76,0.14,0.5,-0.39,-34.92,142.46,-24.73,0.45,-0.1,0.63,-0.62
770,1.02,163.07,-18.83,0.7,-0.2,0.66,0.17,-12.21,125.12,-11.06,0.76,0.14,0.5,-0.39,-34.94,142.55,-24.76,0.45,-0.11,0.63,-0.63
784,1.02,163.07,-18.86,0.7,-0.2,0.66,0.17,-12.25,125.16,-11.02,0.76,0.14,0.5,-0.39,-34.96,142.63,-24.76,0.45,-0.11,0.63,-0.63
802,1.01,163.07,-18.88,0.7,-0.21,0.66,0.17,-12.28,125.23,-10.98,0.76,0.14,0.5,-0.39,-34.97,142.72,-24.75,0.44,-0.11,0.63,-0.63
814,1.01,163.06,-18.9,0.7,-0.21,0.66,0.17,-12.3,125.3,-10.96,0.76,0.14,0.5,-0.39,-34.94,142.79,-24.75,0.44,-0.1,0.63,-0.63
830,1.01,163.05,-18.92,0.7,-0.21,0.66,0.17,-12.32,125.4,-10.94,0.76,0.14,0.5,-0.39,-34.91,142.89,-24.76,0.44,-0.1,0.63,-0.63
841,1.01,163.05,-18.94,0.7,-0.21,0.66,0.17,-12.33,125.47,-10.93,0.76,0.14,0.5,-0.39,-34.88,142.95,-24.76,0.44,-0.1,0.63,-0.63
855,1.0,163.04,-18.96,0.7,-0.21,0.66,0.17,-12.34,125.56,-10.92,0.76,0.14,0.5,-0.39,-34.84,143.02,-24.78,0.44,-0.1,0.63,-0.63
868,1.0,163.04,-18.99,0.7,-0.21,0.66,0.17,-12.35,125.64,-10.93,0.76,0.14,0.5,-0.39,-34.81,143.08,-24.78,0.44,-0.1,0.63,-0.63
880,1.0,163.03,-19.01,0.7,-0.21,0.66,0.17,-12.35,125.71,-10.95,0.76,0.14,0.5,-0.39,-34.78,143.12,-24.78,0.44,-0.1,0.63,-0.63
893,0.99,163.03,-19.04,0.7,-0.21,0.66,0.17,-12.35,125.8,-10.97,0.76,0.14,0.5,-0.39,-34.76,143.16,-24.79,0.44,-0.1,0.63,-0.63
908,0.98,163.02,-19.07,0.7,-0.21,0.66,0.17,-12.35,125.88,-11.0,0.76,0.14,0.5,-0.39,-34.74,143.2,-24.81,0.44,-0.1,0.63,-0.63
922,0.97,163.01,-19.1,0.7,-0.21,0.66,0.17,-12.36,125.95,-11.03,0.76,0.15,0.5,-0.39,-34.72,143.21,-24.85,0.44,-0.1,0.63,-0.63
936,0.97,163.0,-19.13,0.7,-0.21,0.66,0.17,-12.37,126.0,-11.07,0.76,0.15,0.5,-0.39,-34.73,143.21,-24.92,0.44,-0.1,0.63,-0.63
952,0.96,162.99,-19.16,0.7,-0.21,0.66,0.17,-12.4,126.06,-11.09,0.76,0.15,0.5,-0.39,-34.75,143.2,-24.99,0.44,-0.1,0.63,-0.64
965,0.95,162.99,-19.19,0.7,-0.21,0.66,0.17,-12.42,126.09,-11.12,0.76,0.15,0.5,-0.39,-34.76,143.18,-25.05,0.44,-0.11,0.62,-0.64
983,0.94,162.98,-19.23,0.7,-0.21,0.66,0.17,-12.47,126.14,-11.14,0.76,0.15,0.5,-0.39,-34.76,143.16,-25.1,0.44,-0.11,0.62,-0.64
997,0.93,162.97,-19.26,0.7,-0.21,0.66,0.17,-12.49,126.17,-11.15,0.76,0.15,0.5,-0.39,-34.75,143.15,-25.13,0.44,-0.11,0.62,-0.64
1009,0.92,162.96,-19.29,0.7,-0.21,0.66,0.17,-12.52,126.19,-11.16,0.76,0.15,0.5,-0.39,-34.73,143.15,-25.15,0.44,-0.1,0.62,-0.64
1024,0.91,162.95,-19.32,0.7,-0.21,0.66,0.17,-12.54,126.21,-11.17,0.76,0.15,0.5,-0.38,-34.7,143.15,-25.18,0.44,-0.1,0.62,-0.64
1037,0.9,162.94,-19.35,0.7,-0.21,0.66,0.17,-12.56,126.23,-11.2,0.76,0.15,0.5,-0.38,-34.67,143.13,-25.22,0.44,-0.1,0.62,-0.64
1051,0.89,162.93,-19.37,0.7,-0.21,0.66,0.17,-12.58,126.24,-11.21,0.76,0.15,0.5,-0.38,-34.66,143.12,-25.25,0.44,-0.1,0.62,-0.64
1064,0.87,162.92,-19.4,0.7,-0.21,0.66,0.17,-12.58,126.24,-11.24,0.76,0.15,0.5,-0.38,-34.65,143.1,-25.29,0.44,-0.1,0.62,-0.64
1077,0.86,162.91,-19.42,0.7,-0.21,0.66,0.17,-12.59,126.23,-11.26,0.76,0.15,0.5,-0.38,-34.65,143.08,-25.33,0.44,-0.11,0.62,-0.64
1089,0.84,162.91,-19.44,0.7,-0.21,0.66,0.17,-12.6,126.22,-11.29,0.76,0.15,0.5,-0.38,-34.65,143.06,-25.36,0.43,-0.11,0.62,-0.64
1100,0.82,162.9,-19.46,0.7,-0.21,0.66,0.17,-12.61,126.2,-11.31,0.76,0.15,0.5,-0.38,-34.64,143.06,-25.4,0.43,-0.11,0.62,-0.65
1113,0.8,162.89,-19.48,0.7,-0.21,0.66,0.17,-12.63,126.19,-11.33,0.76,0.15,0.5,-0.38,-34.62,143.06,-25.44,0.43,-0.11,0.62,-0.65
1128,0.77,162.88,-19.5,0.7,-0.21,0.66,0.17,-12.65,126.17,-11.35,0.76,0.15,0.5,-0.38,-34.6,143.06,-25.5,0.43,-0.11,0.62,-0.65
1141,0.74,162.87,-19.52,0.7,-0.21,0.66,0.17,-12.67,126.15,-11.36,0.76,0.15,0.5,-0.38,-34.57,143.07,-25.55,0.43,-0.11,0.62,-0.65
1155,0.71,162.86,-19.55,0.7,-0.21,0.66,0.17,-12.7,126.12,-11.38,0.76,0.15,0.5,-0.38,-34.55,143.09,-25.62,0.43,-0.11,0.62,-0.65
1170,0.67,162.84,-19.57,0.7,-0.21,0.66,0.17,-12.74,126.08,-11.39,0.76,0.15,0.5,-0.38,-34.54,143.1,-25.71,0.43,-0.11,0.62,-0.65
1185,0.64,162.84,-19.59,0.7,-0.22,0.66,0.17,-12.77,126.06,-11.4,0.76,0.15,0.5,-0.38,-34.53,143.12,-25.8,0.43,-0.11,0.61,-0.65
1200,0.59,162.82,-19.62,0.7,-0.22,0.66,0.17,-12.79,126.02,-11.41,0.76,0.15,0.5,-0.38,-34.52,143.14,-25.9,0.43,-0.11,0.61,-0.65
1212,0.56,162.82,-19.64,0.7,-0.22,0.66,0.17,-12.81,126.0,-11.42,0.77,0.15,0.5,-0.38,-34.51,143.16,-25.96,0.43,-0.11,0.61,-0.65
1225,0.53,162.81,-19.66,0.7,-0.22,0.66,0.17,-12.84,125.98,-11.42,0.77,0.15,0.5,-0.38,-34.5,143.18,-26.02,0.43,-0.11,0.61,-0.66
1238,0.49,162.8,-19.68,0.7,-0.22,0.66,0.17,-12.85,125.96,-11.42,0.77,0.15,0.5,-0.38,-34.49,143.2,-26.09,0.43,-0.11,0.61,-0.66
1252,0.45,162.79,-19.7,0.7,-0.22,0.65,0.17,-12.88,125.95,-11.43,0.77,0.15,0.5,-0.38,-34.5,143.22,-26.17,0.43,-0.11,0.61,-0.66
1268,0.41,162.78,-19.72,0.71,-0.22,0.65,0.17,-12.91,125.92,-11.43,0.77,0.15,0.5,-0.38,-34.51,143.23,-26.24,0.43,-0.12,0.61,-0.66
1280,0.38,162.77,-19.73,0.71,-0.22,0.65,0.17,-12.93,125.91,-11.44,0.77,0.15,0.5,-0.37,-34.52,143.25,-26.28,0.43,-0.12,0.61,-0.66
1294,0.34,162.76,-19.75,0.71,-0.22,0.65,0.17,-12.96,125.88,-11.45,0.77,0.15,0.5,-0.37,-34.54,143.26,-26.33,0.43,-0.12,0.61,-0.66
1309,0.3,162.75,-19.77,0.71,-0.22,0.65,0.17,-12.99,125.86,-11.47,0.77,0.15,0.5,-0.37,-34.56,143.26,-26.38,0.42,-0.12,0.61,-0.66
1324,0.26,162.74,-19.79,0.71,-0.22,0.65,0.17,-13.01,125.83,-11.5,0.77,0.15,0.5,-0.37,-34.59,143.26,-26.44,0.42,-0.12,0.61,-0.66
1335,0.23,162.73,-19.8,0.71,-0.22,0.65,0.17,-13.03,125.8,-11.53,0.77,0.15,0.5,-0.37,-34.61,143.25,-26.48,0.42,-0.12,0.61,-0.66
1347,0.2,162.73,-19.82,0.71,-0.22,0.65,0.17,-13.04,125.79,-11.56,0.77,0.15,0.5,-0.37,-34.64,143.25,-26.53,0.42,-0.13,0.61,-0.66
1362,0.16,162.72,-19.84,0.71,-0.22,0.65,0.17,-13.06,125.78,-11.6,0.77,0.15,0.49,-0.37,-34.69,143.24,-26.58,0.42,-0.13,0.61,-0.66
1375,0.13,162.72,-19.85,0.71,-0.22,0.65,0.17,-13.07,125.77,-11.63,0.77,0.15,0.49,-0.37,-34.72,143.23,-26.61,0.42,-0.13,0.61,-0.66
1389,0.09,162.71,-19.87,0.71,-0.22,0.65,0.17,-13.09,125.78,-11.65,0.77,0.15,0.49,-0.37,-34.76,143.22,-26.63,0.42,-0.13,0.61,-0.66
1403,0.06,162.7,-19.88,0.71,-0.22,0.65,0.17,-13.11,125.78,-11.67,0.77,0.15,0.49,-0.37,-34.81,143.21,-26.64,0.42,-0.14,0.61,-0.66
1415,0.03,162.7,-19.9,0.71,-0.22,0.65,0.17,-13.13,125.79,-11.7,0.77,0.15,0.49,-0.37,-34.84,143.2,-26.64,0.42,-0.14,0.61,-0.66
1429,-0.01,162.69,-19.91,0.71,-0.22,0.65,0.17,-13.15,125.79,-11.73,0.77,0.15,0.49,-0.37,-34.88,143.2,-26.65,0.42,-0.14,0.61,-0.66
1443,-0.04,162.68,-19.93,0.71,-0.22,0.65,0.17,-13.17,125.78,-11.76,0.77,0.15,0.49,-0.37,-34.91,143.18,-26.66,0.41,-0.14,0.61,-0.66
1456,-0.07,162.68,-19.95,0.71,-0.22,0.65,0.17,-13.18,125.76,-11.8,0.77,0.15,0.49,-0.37,-34.93,143.18,-26.67,0.41,-0.15,0.61,-0.66
1471,-0.11,162.66,-19.96,0.71,-0.22,0.65,0.17,-13.2,125.72,-11.85,0.77,0.15,0.49,-0.37,-34.94,143.17,-26.68,0.41,-0.15,0.61,-0.66
1486,-0.14,162.65,-19.97,0.71,-0.22,0.65,0.17,-13.22,125.69,-11.9,0.77,0.15,0.49,-0.37,-34.94,143.18,-26.7,0.41,-0.14,0.61,-0.66
1498,-0.16,162.65,-19.98,0.71,-0.22,0.65,0.17,-13.24,125.65,-11.93,0.77,0.15,0.49,-0.37,-34.94,143.17,-26.72,0.41,-0.14,0.61,-0.66
1510,-0.18,162.64,-19.99,0.71,-0.22,0.65,0.17,-13.26,125.63,-11.97,0.77,0.15,0.49,-0.37,-34.95,143.16,-26.73,0.41,-0.14,0.61,-0.66
1525,-0.21,162.62,-20.0,0.71,-0.22,0.65,0.17,-13.28,125.6,-11.99,0.77,0.15,0.49,-0.37,-34.97,143.15,-26.74,0.41,-0.15,0.6,-0.66
1540,-0.24,162.62,-20.01,0.71,-0.22,0.65,0.17,-13.31,125.58,-12.02,0.77,0.15,0.49,-0.37,-35.0,143.13,-26.77,0.41,-0.15,0.6,-0.67
1554,-0.27,162.61,-20.01,0.71,-0.22,0.65,0.17,-13.34,125.56,-12.04,0.77,0.15,0.49,-0.37,-35.03,143.12,-26.78,0.41,-0.15,0.6,-0.67
1567,-0.29,162.61,-20.01,0.71,-0.22,0.65,0.17,-13.36,125.54,-12.06,0.77,0.15,0.49,-0.37,-35.05,143.12,-26.78,0.41,-0.15,0.6,-0.67
1578,-0.31,162.6,-20.01,0.71,-0.22,0.65,0.17,-13.38,125.52,-12.07,0.77,0.15,0.49,-0.37,-35.07,143.12,-26.78,0.41,-0.16,0.6,-0.67
1595,-0.33,162.6,-20.0,0.71,-0.22,0.65,0.17,-13.4,125.5,-12.1,0.77,0.15,0.49,-0.37,-35.09,143.12,-26.76,0.41,-0.16,0.6,-0.67
1608,-0.36,162.6,-19.99,0.71,-0.22,0.65,0.17,-13.42,125.48,-12.12,0.77,0.15,0.49,-0.37,-35.12,143.14,-26.74,0.41,-0.16,0.6,-0.66
1621,-0.38,162.61,-19.98,0.71,-0.22,0.65,0.17,-13.43,125.45,-12.15,0.78,0.15,0.49,-0.37,-35.14,143.15,-26.71,0.41,-0.16,0.6,-0.66
1634,-0.4,162.61,-19.96,0.71,-0.22,0.65,0.17,-13.44,125.43,-12.18,0.78,0.15,0.49,-0.37,-35.17,143.19,-26.68,0.41,-0.16,0.61,-0.66
1651,-0.42,162.62,-19.94,0.71,-0.22,0.65,0.17,-13.45,125.41,-12.21,0.78,0.15,0.49,-0.37,-35.18,143.25,-26.62,0.42,-0.15,0.61,-0.66
1683,-0.46,162.64,-19.88,0.71,-0.22,0.65,0.17,-13.46,125.39,-12.25,0.78,0.15,0.49,-0.37,-35.11,143.49,-26.48,0.43,-0.12,0.62,-0.65
1698,-0.48,162.65,-19.86,0.71,-0.22,0.65,0.17,-13.47,125.38,-12.29,0.78,0.15,0.49,-0.37,-35.0,143.69,-26.35,0.45,-0.09,0.62,-0.64
1712,-0.49,162.66,-19.83,0.71,-0.22,0.65,0.17,-13.46,125.37,-12.32,0.78,0.15,0.49,-0.37,-34.84,143.93,-26.13,0.46,-0.05,0.63,-0.62
1727,-0.5,162.67,-19.8,0.71,-0.22,0.65,0.17,-13.45,125.37,-12.35,0.78,0.15,0.49,-0.37,-34.65,144.2,-25.81,0.47,-0.01,0.64,-0.61
1739,-0.5,162.68,-19.78,0.71,-0.22,0.65,0.17,-13.45,125.36,-12.38,0.78,0.15,0.49,-0.37,-34.49,144.43,-25.47,0.48,0.03,0.65,-0.59
1753,-0.51,162.7,-19.75,0.71,-0.22,0.65,0.17,-13.43,125.37,-12.41,0.78,0.15,0.49,-0.37,-34.26,144.68,-24.91,0.5,0.09,0.66,-0.56
1765,-0.51,162.71,-19.72,0.71,-0.22,0.65,0.17,-13.42,125.37,-12.44,0.78,0.15,0.49,-0.37,-34.05,144.88,-24.33,0.51,0.14,0.66,-0.53
1779,-0.51,162.73,-19.68,0.71,-0.21,0.65,0.17,-13.41,125.37,-12.45,0.78,0.15,0.49,-0.37,-33.81,145.06,-23.55,0.52,0.22,0.66,-0.49
1792,-0.5,162.75,-19.65,0.71,-0.21,0.65,0.17,-13.4,125.36,-12.47,0.78,0.15,0.49,-0.37,-33.6,145.13,-22.63,0.52,0.3,0.66,-0.45
1806,-0.49,162.77,-19.61,0.7,-0.21,0.66,0.17,-13.39,125.36,-12.49,0.78,0.15,0.49,-0.37,-33.45,145.09,-21.66,0.52,0.37,0.66,-0.41
1819,-0.48,162.79,-19.58,0.7,-0.21,0.66,0.17,-13.37,125.35,-12.51,0.78,0.15,0.49,-0.37,-33.39,144.95,-20.79,0.51,0.43,0.65,-0.37
1831,-0.47,162.82,-19.55,0.7,-0.21,0.66,0.17,-13.36,125.33,-12.53,0.78,0.15,0.49,-0.37,-33.41,144.69,-19.87,0.5,0.48,0.64,-0.33
1844,-0.45,162.84,-19.51,0.7,-0.21,0.66,0.17,-13.36,125.3,-12.54,0.78,0.15,0.49,-0.37,-33.54,144.29,-18.96,0.48,0.54,0.63,-0.28
1858,-0.44,162.87,-19.47,0.7,-0.21,0.66,0.17,-13.34,125.31,-12.57,0.78,0.15,0.49,-0.37,-33.77,143.7,-17.93,0.46,0.61,0.61,-0.23
1872,-0.42,162.9,-19.43,0.7,-0.21,0.66,0.17,-13.33,125.3,-12.59,0.78,0.15,0.49,-0.37,-34.03,143.14,-17.14,0.44,0.65,0.59,-0.19
1886,-0.39,162.93,-19.4,0.7,-0.21,0.66,0.17,-13.31,125.3,-12.61,0.78,0.15,0.48,-0.37,-34.39,142.49,-16.42,0.41,0.7,0.57,-0.14
1899,-0.37,162.96,-19.36,0.7,-0.21,0.66,0.17,-13.29,125.3,-12.62,0.78,0.15,0.48,-0.37,-34.76,141.96,-15.88,0.39,0.73,0.55,-0.11
1912,-0.35,162.98,-19.33,0.7,-0.21,0.66,0.17,-13.28,125.31,-12.63,0.78,0.15,0.48,-0.38,-35.08,141.56,-15.55,0.37,0.75,0.54,-0.09
1925,-0.31,163.01,-19.29,0.7,-0.21,0.66,0.17,-13.26,125.31,-12.63,0.78,0.15,0.48,-0.38,-35.48,141.17,-15.23,0.36,0.76,0.53,-0.07
1941,-0.28,163.05,-19.24,0.7,-0.2,0.66,0.16,-13.24,125.31,-12.62,0.78,0.15,0.48,-0.38,-35.86,140.99,-15.01,0.35,0.77,0.53,-0.05
1953,-0.24,163.08,-19.2,0.7,-0.2,0.67,0.16,-13.22,125.31,-12.62,0.78,0.15,0.48,-0.38,-36.12,140.92,-14.89,0.35,0.78,0.52,-0.05
1966,-0.21,163.12,-19.16,0.7,-0.2,0.67,0.16,-13.2,125.3,-12.62,0.78,0.15,0.48,-0.38,-36.31,140.92,-14.78,0.34,0.79,0.51,-0.04
